iteration,loss,total mean reward,forward mean reward,train mean reward,replay mean reward,top_10 mean forward reward,mean similarity
1,298.76202392578125,0.29132197858666586,0.29132197858666586,-1,-1,1.0745527923107148,-1
2,280.8894500732422,0.39406231895318433,0.39406231895318433,-1,-1,1.7289342820644378,-1
3,295.73447672526044,0.22954621211758774,0.22954621211758774,-1,-1,0.9665429294109344,-1
4,296.6276397705078,0.3895099489240814,0.3895099489240814,-1,-1,1.7732697010040284,-1
5,305.6467651367187,0.394659031810109,0.394659031810109,-1,-1,1.781445813179016,-1
6,303.64202880859375,0.2279646224065992,0.2279646224065992,-1,-1,0.799188706278801,-1
7,301.45760672433033,0.5502868425173327,0.5502868425173327,-1,-1,2.564777374267578,-1
8,301.01753997802734,0.5154167165219287,0.5154167165219287,-1,-1,2.141706347465515,-1
9,299.5081312391493,0.4193080225716076,0.4193080225716076,-1,-1,1.7763453483581544,-1
10,296.21985778808596,0.47287123855699065,0.47287123855699065,-1,-1,1.8714295983314515,0.08357347699433058
