,trajectory,readable,proxy_vals
0,"[6, 220, 441, 12, 0, 74, 0]",COCC1(c2cnnn2CC(CC2CCCC2)NC(=O)[C@H]2CNC(=O)N2)CCCC1,0.7225027084350586
1,"[1238, 1688, 406, 47, 0, 12, 0]",COCCCCNC(=O)N[C@@H]1CC[C@H](c2cnnn2[C@@H](C)c2nccs2)C1,0.4643532931804657
2,"[1650, 643, 1569, 15, 0, 12, 0]",C[C@@H]1C[C@@H](c2nc([C@H]3CC[C@@H](Cn4nncc4CCCCON)CC3)n[nH]2)CCO1,0.5022467970848083
3,"[977, 245, 1111, 74, 0, 72, 0]",CC(C)[C@H](C#N)NC(=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]1C[C@H](F)C(=O)N1,0.29295867681503296
4,"[158, 728, 1436, 12, 0, 68, 0]",N[C@H](CF)Cn1nncc1C1(OC(=O)[C@@H]2CNC(=O)O2)CCCCC1,0.43775802850723267
5,"[305, 395, 374, 11, 0, 74, 0]",CC1(c2cn(CC3CO3)nn2)CCCN1C(=O)[C@@H]1CCOC(=O)N1,0.8001964688301086
6,"[1431, 234, 1527, 12, 0, 11, 0]",CC(Cn1cc(CC(CN)n2nncc2CCN)nn1)C(C)(C)O,0.2999807894229889
7,"[1416, 1779, 716, 9, 0, 11, 0]",O=C(O)C1=C(n2nnc(CC(C3CCCC3)n3cc(C(O)c4ccccc4)nn3)n2)CCC1,0.6029050946235657
8,"[1085, 1805, 129, 72, 0, 74, 0]",CC(CC1CCC1)C(=O)N[C@H](C(=O)O[C@H](CCl)CC#N)C1CC1,0.242606520652771
9,"[227, 1208, 1436, 24, 0, 68, 0]",CN1C[C@@H](OC(=O)[C@@H]2CNC(=O)O2)C[C@@H]1c1nc(C2(CC3CO3)CCC2)no1,0.672016978263855
